codigo,descripcion
A03-951,"Asistencia y servicios sociales para niños, jóvenes, personas con discapacidad y ancianos, en centros residenciales. (Consultar descripción original en el Real Decreto Legislativo 1175/1990, 28 de septiembre)"
A03-952,"Asistencia y servicios sociales para niños, jóvenes, personas con discapacidad y ancianos, en centros no residenciales. (Consultar descripción original en el Real Decreto Legislativo 1175/1990, 28 de septiembre)"
A03-974,Agencias de prestación de servicios domésticos
A03-975,Servicios de enmarcación
A03-983,Agencias de colocación de artistas
A03-991,Prestación de servicios por sociedades de desarrollo industrial regional
A03-999,Otros servicios no clasificados en otras partes
A02-041.1,Reproductoras de puesta
A02-041.2,Ponedoras de huevos a partir de los cuatro meses edad
A02-042.1,Reproductoras de carne
A02-042.2,Pollos y patos para carne
A02-042.3,"Pavos, faisanes y palmípedas reproductoras"
A02-042.4,"Pavos, faisanes y palmípedas para carne"
A02-042.5,Codornices para carne
A03-111.1,"Extracción y preparación de hulla, excepto hulla subbituminosa"
A03-111.2,Extracción y preparación de hulla subbituminosa (lignito negro)
A03-111.3,Preparación de hulla en factoría independiente o fuera del perímetro de la concesión o explotación minera
A03-111.4,Aglomeración de hulla
A03-112.1,Extracción y preparación de antracita
A03-112.2,Preparación de antracita en factoría independiente o fuera del perímetro de la concesión o explotación minera
A03-113.1,Extracción y preparación lignito pardo
A03-113.2,Preparación de lignito pardo en factoría independiente o fuera del perímetro de la concesión o explotación minera
A03-121.1,"Trabajos de testificación por diversos procedimientos en sondeos, determinación de las características de las formaciones atravesadas, profundidad y dirección del sondeo, buzamiento y dirección de las formaciones, etc."
A03-121.2,"Trabajos para desviación de sondeos y cimentación de pozos, fracturación o acidificación de rocas y pruebas de producción"
A03-121.3,"Trabajos de tomas de medida de presión de fondo de pozos, apertura y cierre de los mismos para realizar aquellas, medición en superficie de temperatura, presión, caudal, etc., y servicios de cable para conexión entre elementos en pozo y en superficie."
A03-121.9,"Otras actividades relacionadas con la prospección de petróleo y gas natural y trabajos auxiliares de investigación minera, tales como los de geofísica petrolera, control de geología de sondeos, etc."
A03-122.1,Extracción de crudos de petróleo
A03-122.2,Distribución de crudos de petróleo
A03-123.1,Extracción y depuración de gas natural
A03-123.2,Distribución de gas natural
A03-143.1,Transformación de minerales radiactivos
A03-143.2,Tratamiento de residuos radiactivos
A03-143.3,Almacenamiento de residuos radiactivos
A03-151.1,Producción de energía hidroeléctrica
A03-151.2,Producción de energía termoeléctrica convencional
A03-151.3,Producción de energía electronuclear
A03-151.4,"Producción de energía no especificada en los epígrafes anteriores, abarcando la energía procedente de mareas, energía solar, etc."
A03-151.5,Transporte y distribución de energía eléctrica
A03-151.6,Comercialización de energía eléctrica
A03-152.1,Fabricación y Distribución de Gas
A03-152.2,Comercialización de Gas
A03-161.1,"Captación, tratamiento y distribución de agua para núcleos urbanos"
A03-161.2,Captación de agua para su suministro
A03-161.3,Tratamiento de agua para su suministro
A03-161.4,Distribución de agua para núcleos urbanos
A03-211.1,Extracción y preparación de minerales férreos
A03-211.2,Preparación de minerales férreos en factoría independiente o fuera del perímetro de la explotación o concesión minera
A03-212.1,Extracción y preparación minerales metálicos no férreos
A03-212.2,Preparación de minerales metálicos no férreos en factoría independiente o situada fuera del perímetro de la explotación o concesión minera
A03-225.1,Producción y primera transformación del aluminio
A03-225.2,Producción y primera transformación del cobre
A03-225.9,Producción y primera transformación otros metales no férreos no clasificados en otras partes
A03-231.1,Extracción de sustancias arcillosas
A03-231.2,Extracción de rocas y pizarras para la construcción
A03-231.3,Extracción de arenas y gravas para la construcción
A03-231.4,Extracción de yeso
A03-231.9,Extracción de otros materiales de construcción no clasificados en otras partes
A03-232.1,Extracción de sales potásicas
A03-232.2,Extracción de fosfatos y nitratos
A03-233.1,Extracción de sal marina
A03-233.2,Extracción de sal manantial y sal gema
A03-239.1,Extracción de fluorita
A03-239.2,Extracción de turba
A03-239.9,Extracción de otros minerales no metálicos ni energéticos no clasificados en otras partes
A03-242.1,Fabricación de cementos artificiales
A03-242.2,Fabricación de cementos naturales
A03-242.3,Fabricación de cales y yesos
A03-243.1,Fabricación de hormigones preparados
A03-243.2,Fabricación de productos en fibrocemento
A03-243.3,"Fabricación de otros artículos derivados del cemento, excepto pavimentos"
A03-243.4,Fabricación pavimentos derivados del cemento
A03-243.5,Fabricación de artículos derivados del yeso y escayola
A03-246.1,Fabricación de vidrio plano
A03-246.2,Fabricación de vidrio hueco
A03-246.3,Fabricación de vidrio técnico
A03-246.4,Fabricación de fibra de vidrio
A03-246.5,Manipulado de vidrio
A03-246.6,Fabricación de fritas y esmaltes cerámicos
A03-247.1,Fabricación de artículos refractarios
A03-247.2,Fabricación de baldosas para pavimentación o revestimientos sin barnizar ni esmaltar
A03-247.3,Fabricación de baldosas para pavimentación o revestimiento barnizadas o esmaltadas
A03-247.4,"Fabricación de vajillas, artículos del hogar y objetos de adorno de material cerámico"
A03-247.5,"Fabricación de aparatos sanitarios de loza, porcelana y gres"
A03-247.6,Fabricación de aisladores y piezas de material cerámico para instalaciones eléctricas
A03-247.9,Fabricación otros productos cerámicos no clasificados en otras partes
A03-251.1,Fabricación de productos químicos orgánicos de origen petroquímico
A03-251.2,Fabricación de otros productos químicos orgánicos
A03-251.3,Fabricación de productos químicos inorgánicos excepto gases comprimidos
A03-251.4,Fabricación de primeras materias plásticas
A03-251.5,Fabricación de caucho y látex sintéticos
A03-251.6,Fabricación fibras artificiales y sintéticas
A03-251.7,Fabricación de ácido y anhídrico ftálico y maléico y de ácidos isoftálico y tereftálico.
A03-252.1,Fabricación de abonos
A03-252.2,Fabricación de plaguicidas
A03-253.1,Fabricación de gases comprimidos
A03-253.2,Fabricación de colorantes y pigmentos
A03-253.3,"Fabricación de pinturas, barnices y lacas"
A03-253.4,Fabricación de tintas de imprenta
A03-253.5,Tratamiento aceites y grasas para usos industriales
A03-253.6,"Fabricación de aceites esenciales y sustancias aromáticas, naturales y sintéticas"
A03-253.7,"Fabricación de colas y gelatinas y de productos auxiliares para la industria textil, del cuero y del caucho"
A03-253.8,Fabricación de explosivos
A03-253.9,Fabricación de otros productos químicos de uso industrial no clasificados en otras partes
A03-254.1,Fabricación productos farmacéuticos de base
A03-254.2,Fabricación de especialidades y otros productos farmacéuticos
A03-255.1,"Fabricación de jabones comunes, detergentes y lejías"
A03-255.2,Fabricación de jabones de tocador y otros productos de perfumería y cosmética
A03-255.3,Fabricación de derivados de ceras y parafinas
A03-255.4,Fabricación de material fotográfico sensible
A03-255.5,"Fabricación de artículos pirotécnicos, cerillas y fósforos"
A03-255.9,Fabricación de otros productos químicos destinados principalmente al consumo final no clasificados en otras partes
A03-311.1,Fundición de piezas de hierro y acero
A03-311.2,Fundición de piezas de metales no férreos y sus aleaciones
A03-314.1,Carpintería metálica
A03-314.2,Fabricación de estructuras metálicas
A03-316.1,Fabricación de herramientas manuales
A03-316.2,Fabricación de artículos de ferretería y cerrajería
A03-316.3,Tornillería y fabricación de artículos derivados del alambre
A03-316.4,Fabricación de artículos de menaje
A03-316.5,"Fabricación de cocinas, calentadores y aparatos domésticos de calefacción, no eléctricos"
A03-316.6,Fabricación de mobiliario metálico
A03-316.7,Fabricación de recipientes y envases metálicos
A03-316.8,Fabricación de armas ligeras y sus municiones
A03-316.9,Fabricación de otros artículos acabados en metales no clasificados en otras partes
A03-319.1,Mecánica general
A03-319.9,Talleres mecánicos no clasificados en otras partes
A03-321.1,Construcción de máquinas agrícolas
A03-321.2,Construcción de tractores agrícolas
A03-322.1,Construcción de maquinas para trabajar los metales
A03-322.2,Construcción de maquinas para trabajar la madera y el corcho
A03-322.3,"Fabricación de útiles, equipos, piezas y accesorios para maquinas- herramientas"
A03-323.1,Construcción de maquinas textiles y sus accesorios
A03-323.2,Construcción de maquinas para las industrias del cuero y calzado
A03-323.3,Fabricación de máquinas de coser
A03-324.1,"Construcción de máquinas para las industrias alimenticias, de bebidas y del tabaco"
A03-324.2,Construcción de máquinas para la industria química
A03-324.3,Construcción de máquinas para las industrias de transformación del caucho y materias plásticas
A03-325.1,"Construcción de máquinas y equipo para minería, construcción y obras públicas"
A03-325.2,Construcción de máquinas y equipo para las industrias de productos minerales no metálicos
A03-325.3,Construcción de máquinas para la siderurgia y fundición
A03-325.4,Construcción de maquinaria de elevación y manipulación
A03-326.1,"Fabricación de engranajes, cadenas de transmisión y otros órganos de transmisión"
A03-326.2,Fabricación de rodamientos
A03-329.1,"Construcción de máquinas para las industrias de papel, cartón y artes gráficas"
A03-329.2,Construcción de máquinas de lavado y limpieza en seco
A03-329.3,Construcción de motores y turbinas (excepto los destinados al transporte)
A03-329.4,Construcción de maquinaria para la manipulación de fluidos
A03-329.9,Construcción de otras máquinas y equipos no clasificados en otras partes
A03-351.1,Fabricación de aparatos y equipos telefónico y telegráfico
